Time (s),X (m),Y (m),Z (m),Roll (deg),Pitch (deg),Yaw (deg)
48.5,70.508,11.815,11.75,-0.27,3.215,111.031
48.6,70.434,11.597,11.757,0.444,3.037,111.274
48.7,70.143,11.375,11.742,1.164,3.327,111.588
48.8,69.888,11.258,11.735,0.504,2.983,111.583
48.9,69.711,11.069,11.701,0.588,2.965,112.078
49.0,69.506,10.725,11.594,0.485,2.194,111.873
49.1,69.173,10.536,11.689,2.843,2.313,112.267
49.2,68.701,10.176,11.665,4.356,2.763,112.916
49.3,68.593,9.863,11.648,5.186,2.876,112.868
49.4,68.294,9.821,11.662,2.685,2.604,113.085
49.5,67.889,9.664,11.661,2.052,2.747,113.45
49.6,67.555,9.581,11.626,3.183,2.911,114.412
49.7,67.35,9.499,11.665,2.437,3.096,114.163
49.8,67.047,9.174,11.679,1.252,2.494,114.64
49.9,66.75,9.116,11.59,-0.616,2.464,114.796
50.0,66.379,8.958,11.552,-1.499,2.741,115.739
50.1,66.123,8.749,11.498,-0.988,2.573,115.342
50.2,65.803,8.659,11.555,0.202,2.677,115.881
50.3,65.421,8.491,11.444,0.856,3.004,116.089
50.4,65.132,8.457,11.565,1.161,2.428,116.182
50.5,64.71,8.125,11.521,0.823,1.97,116.282
50.6,64.279,7.905,11.445,0.179,2.239,116.082
50.7,64.05,7.989,11.476,1.163,1.674,116.804
50.8,63.766,7.942,11.398,0.668,1.837,117.397
50.9,63.555,7.848,11.372,0.773,-0.736,117.143
51.0,62.807,7.619,11.429,0.713,-3.524,117.701
51.1,63.84,7.61,11.34,-0.244,0.382,117.525
51.2,64.627,7.42,11.374,-0.3,3.161,117.736
51.3,65.453,7.435,11.341,-0.612,2.421,117.528
51.4,66.03,7.227,11.389,0.043,2.375,117.768
51.5,66.713,7.111,11.318,0.259,2.629,118.081
51.6,67.322,7.186,11.351,0.11,2.806,118.397
51.7,67.666,6.924,11.303,0.731,2.617,117.981
51.8,68.151,6.823,11.219,0.281,2.545,118.024
51.9,68.671,6.924,11.182,-0.655,2.093,118.513
52.0,68.953,6.785,11.124,-0.218,1.841,118.653
52.1,69.059,6.509,11.19,-1.289,1.405,118.931
52.2,69.625,6.706,11.058,-0.358,2.269,119.375
52.3,69.641,6.429,11.118,0.044,1.718,118.916
52.4,69.928,6.408,11.036,-0.126,0.885,119.666
52.5,70.056,6.351,11.089,0.396,1.527,119.449
52.6,70.216,6.437,11.124,0.452,1.9,119.423
52.7,70.337,6.191,11.044,1.001,1.753,119.097
52.8,70.562,6.183,11.041,0.834,1.558,120.036
52.9,70.551,6.02,11.015,1.204,2.05,120.222
53.0,70.596,5.998,11.0,0.085,2.305,119.997
53.1,70.72,5.769,10.875,-0.721,2.921,120.111
53.2,70.817,5.808,10.875,-0.428,2.775,119.97
53.3,70.691,5.681,10.794,0.375,2.4,119.677
53.4,70.938,5.573,10.675,0.596,1.684,120.066
53.5,70.826,5.605,10.587,0.776,1.546,119.996
53.6,70.943,5.595,10.579,-0.566,1.786,120.116
53.7,70.989,5.478,10.458,-0.232,2.939,120.359
53.8,70.885,5.341,10.339,-0.626,1.995,120.53
53.9,70.876,5.356,10.176,0.208,1.707,120.917
54.0,70.762,5.138,10.081,-0.796,1.506,121.224
54.1,70.703,5.184,9.924,0.091,2.116,120.932
54.2,70.559,5.129,9.783,0.17,2.336,121.295
54.3,70.641,5.012,9.709,0.461,2.816,121.098
54.4,70.549,4.933,9.574,-0.268,1.768,121.2
54.5,70.337,4.898,9.417,-1.238,1.993,121.466
54.6,70.477,4.775,9.284,-0.508,1.212,121.314
54.7,70.503,4.733,9.21,-0.488,1.551,121.631
54.8,70.338,4.741,9.038,-0.077,1.916,121.522
54.9,70.319,4.459,8.852,0.114,1.775,121.504
55.0,70.125,4.643,8.854,0.259,1.842,121.639
55.1,69.98,4.509,8.558,0.833,2.626,122.291
55.2,69.98,4.42,8.49,0.032,1.93,122.058
55.3,69.856,4.255,8.293,-1.49,1.99,121.97
55.4,69.698,4.23,8.212,-1.303,2.021,122.226
55.5,69.776,4.139,8.038,-0.311,2.388,122.072
55.6,69.612,4.161,7.925,-0.851,2.595,122.233
55.7,69.444,4.076,7.73,0.314,2.026,122.354
55.8,69.408,4.032,7.553,0.597,1.221,122.103
55.9,69.275,3.862,7.491,-0.166,1.216,122.578
56.0,69.234,3.614,7.281,0.219,1.902,122.819
56.1,69.207,3.617,7.123,0.719,2.666,122.866
56.2,68.925,3.581,6.974,0.618,2.171,122.854
56.3,68.769,3.555,6.799,0.918,1.455,123.252
56.4,68.871,3.329,6.69,0.381,1.128,122.867
56.5,68.849,3.353,6.592,-0.549,1.862,123.45
56.6,68.507,3.293,6.433,-0.899,1.907,123.501
56.7,68.382,3.162,6.233,-0.464,1.983,123.386
56.8,68.26,3.113,6.095,-0.457,1.991,123.802
56.9,68.257,3.231,5.946,-1.466,2.061,123.293
57.0,68.165,2.963,5.738,-1.14,2.389,123.641
57.1,68.036,3.036,5.671,0.422,2.356,123.623
57.2,68.024,2.809,5.47,0.903,1.887,123.558
57.3,67.794,2.649,5.234,-0.101,2.501,123.767
57.4,67.711,2.662,5.177,0.252,2.721,124.044
57.5,67.555,2.503,4.962,0.49,2.252,124.139
57.6,67.664,2.445,4.855,0.887,2.144,124.293
57.7,67.539,2.192,4.716,-0.082,2.111,124.06
57.8,67.457,2.321,4.522,1.108,2.831,124.292
57.9,67.183,2.17,4.392,0.845,2.023,124.374
58.0,67.253,2.23,4.281,1.246,1.293,124.322
58.1,67.064,2.078,4.018,-0.796,1.27,124.575
58.2,66.996,1.971,3.844,-1.021,1.486,124.131
58.3,66.885,1.843,3.763,-0.595,1.249,124.467
58.4,66.716,1.857,3.606,-0.049,2.103,124.729
58.5,66.63,1.754,3.546,-0.644,2.327,124.85
58.6,66.42,1.647,3.35,-0.333,1.715,125.2
58.7,66.4,1.784,3.178,-0.162,1.588,124.995
58.8,66.33,1.547,2.999,-0.231,2.301,125.664
58.9,66.161,1.554,2.772,0.195,2.09,124.977
59.0,66.164,1.525,2.642,-0.845,1.975,125.917
59.1,66.164,1.363,2.529,0.267,2.363,125.319
59.2,65.925,1.306,2.396,-0.264,2.588,125.368
59.3,65.79,1.219,2.219,0.741,2.433,125.572
59.4,65.7,1.179,2.088,-0.054,2.939,125.702
59.5,65.68,1.071,1.956,-0.371,2.234,125.877
59.6,65.702,0.987,1.745,1.583,1.466,125.924
59.7,65.473,0.885,1.601,-0.124,1.528,126.245
59.8,65.367,0.763,1.426,-1.103,1.798,126.405
59.9,65.163,0.692,1.361,-0.379,2.486,126.015
60.0,65.188,0.6,1.078,0.655,2.163,126.67
